DateKey,Year,Month,Mdate
20090512,2009,May,12
20090621,2009,June,21
20091116,2009,November,16
20100526,2010,May,26
20110118,2011,January,18
20121203,2012,December,3
20130125,2013,January,25
20130222,2013,February,22
20140125,2014,January,25
20141017,2014,October,17
20150712,2015,July,12
20151217,2015,December,17
20160810,2016,August,10
20170113,2017,January,13
20170604,2017,June,4
20170713,2017,July,13
20170905,2017,September,5
20181025,2018,October,25
20190116,2019,January,16
20200121,2020,January,21
