DateKey,Year,Month,Mdate
20191121,2019,November,21
20090716,2009,July,16
20100917,2010,September,17
20101201,2010,December,1
20111202,2011,December,2
20120105,2012,January,5
20120317,2012,March,17
20121207,2012,December,7
20130307,2013,March,7
20130324,2013,March,24
20130719,2013,July,19
20140124,2014,January,24
20140706,2014,July,6
20141127,2014,November,27
20150920,2015,September,20
20151110,2015,November,10
20160220,2016,February,20
20160226,2016,February,26
20160524,2016,May,24
20160808,2016,August,8
20170407,2017,April,7
20161014,2016,October,14
20170816,2017,August,16
20170928,2017,September,28
20190504,2019,May,4
