DateKey,Year,Month,Mdate
20090616,2009,June,16
20100218,2010,February,18
20100330,2010,March,30
20100626,2010,June,26
20110119,2011,January,19
20110518,2011,May,18
20110610,2011,June,10
20111113,2011,November,13
20121015,2012,October,15
20121224,2012,December,24
20130318,2013,March,18
20140218,2014,February,18
20140503,2014,May,3
20140724,2014,July,24
20150112,2015,January,12
20150215,2015,February,15
20140913,2014,September,13
20150624,2015,June,24
20150731,2015,July,31
20151124,2015,November,24
20150524,2015,May,24
20161101,2016,November,1
20170607,2017,June,7
20170705,2017,July,5
20170726,2017,July,26
20170815,2017,August,15
20171112,2017,November,12
20180101,2018,January,1
20180319,2018,March,19
