DateKey,Year,Month,Mdate
20191128,2019,November,28
20090819,2009,August,19
20100601,2010,June,1
20100622,2010,June,22
20101010,2010,October,10
20110625,2011,June,25
20111002,2011,October,2
20120131,2012,January,31
20120513,2012,May,13
20121013,2012,October,13
20121128,2012,November,28
20130625,2013,June,25
20140623,2014,June,23
20131103,2013,November,3
20140901,2014,September,1
20141009,2014,October,9
20151007,2015,October,7
20151127,2015,November,27
20170401,2017,April,1
20180506,2018,May,6
20180807,2018,August,7
20180920,2018,September,20
20181030,2018,October,30
