DateKey,Year,Month,Mdate
20100504,2010,May,4
20100618,2010,June,18
20120225,2012,February,25
20120721,2012,July,21
20121122,2012,November,22
20130507,2013,May,7
20130614,2013,June,14
20131021,2013,October,21
20150204,2015,February,4
20150222,2015,February,22
20141031,2014,October,31
20151104,2015,November,4
20150527,2015,May,27
20170310,2017,March,10
20171113,2017,November,13
20171223,2017,December,23
20180906,2018,September,6
20181104,2018,November,4
20181115,2018,November,15
20190904,2019,September,4
