DateKey,Year,Month,Mdate
20090526,2009,May,26
20091119,2009,November,19
20100124,2010,January,24
20100322,2010,March,22
20101126,2010,November,26
20110617,2011,June,17
20130531,2013,May,31
20130616,2013,June,16
20150113,2015,January,13
20160622,2016,June,22
20170323,2017,March,23
20170428,2017,April,28
20161021,2016,October,21
20181208,2018,December,8
20181219,2018,December,19
20191213,2019,December,13
20190218,2019,February,18
20190223,2019,February,23
20190311,2019,March,11
20190801,2019,August,1
