DateKey,Year,Month,Mdate
20101217,2010,December,17
20191031,2019,October,31
20120429,2012,April,29
20130122,2013,January,22
20130311,2013,March,11
20130904,2013,September,4
20120327,2012,March,27
20120405,2012,April,5
20140313,2014,March,13
20140926,2014,September,26
20150603,2015,June,3
20150715,2015,July,15
20150909,2015,September,9
20160123,2016,January,23
20170306,2017,March,6
20170330,2017,March,30
20160927,2016,September,27
20171031,2017,October,31
20171115,2017,November,15
20180624,2018,June,24
20180822,2018,August,22
20190201,2019,February,1
20190628,2019,June,28
