DateKey,Year,Month,Mdate
20100828,2010,August,28
20110422,2011,April,22
20110905,2011,September,5
20110928,2011,September,28
20111030,2011,October,30
20120302,2012,March,2
20120712,2012,July,12
20121209,2012,December,9
20140213,2014,February,13
20140305,2014,March,5
20141224,2014,December,24
20140815,2014,August,15
20150705,2015,July,5
20151128,2015,November,28
20160121,2016,January,21
20160321,2016,March,21
20160823,2016,August,23
20170110,2017,January,10
20180211,2018,February,11
20181209,2018,December,9
20190226,2019,February,26
20191231,2019,December,31
