DateKey,Year,Month,Mdate
20191001,2019,October,1
20090828,2009,August,28
20100715,2010,July,15
20110824,2011,August,24
20120109,2012,January,9
20121014,2012,October,14
20130422,2013,April,22
20140612,2014,June,12
20141116,2014,November,16
20141124,2014,November,24
20150127,2015,January,27
20150416,2015,April,16
20150509,2015,May,9
20140817,2014,August,17
20140929,2014,September,29
20150813,2015,August,13
20150921,2015,September,21
20160117,2016,January,17
20160324,2016,March,24
20170511,2017,May,11
20180414,2018,April,14
20180917,2018,September,17
20181015,2018,October,15
20200224,2020,February,24
