DateKey,Year,Month,Mdate
20100623,2010,June,23
20100907,2010,September,7
20110124,2011,January,24
20110417,2011,April,17
20111219,2011,December,19
20121123,2012,November,23
20130310,2013,March,10
20140409,2014,April,9
20140428,2014,April,28
20141008,2014,October,8
20151023,2015,October,23
20151107,2015,November,7
20160830,2016,August,30
20161002,2016,October,2
20170727,2017,July,27
20171024,2017,October,24
20171220,2017,December,20
20180115,2018,January,15
20180404,2018,April,4
20181231,2018,December,31
20190123,2019,January,23
20190503,2019,May,3
20190505,2019,May,5
