DateKey,Year,Month,Mdate
20191108,2019,November,8
20090730,2009,July,30
20100726,2010,July,26
20100829,2010,August,29
20100820,2010,August,20
20120602,2012,June,2
20130216,2013,February,16
20140308,2014,March,8
20140430,2014,April,30
20140710,2014,July,10
20131004,2013,October,4
20150107,2015,January,7
20150109,2015,January,9
20150404,2015,April,4
20150511,2015,May,11
20140822,2014,August,22
20160930,2016,September,30
20161204,2016,December,4
20161226,2016,December,26
20170921,2017,September,21
20180324,2018,March,24
20180904,2018,September,4
