DateKey,Year,Month,Mdate
20110604,2011,June,4
20191021,2019,October,21
20120511,2012,May,11
20120806,2012,August,6
20120813,2012,August,13
20121215,2012,December,15
20130415,2013,April,15
20130624,2013,June,24
20140223,2014,February,23
20140521,2014,May,21
20141217,2014,December,17
20150201,2015,February,1
20151024,2015,October,24
20151126,2015,November,26
20160402,2016,April,2
20160510,2016,May,10
20160902,2016,September,2
20171111,2017,November,11
20171222,2017,December,22
20180210,2018,February,10
20180817,2018,August,17
20180831,2018,August,31
